genres,sentiment,count
"Action & Adventure, Animation, Kids & Family",0,322
"Action & Adventure, Animation, Kids & Family",1,1734
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts",0,2
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts",1,3
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance",0,8
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance",1,28
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",0,4
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",1,1
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense",0,4
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense",1,16
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense, Romance",0,2
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense, Romance",1,9
"Action & Adventure, Animation, Kids & Family, Romance",0,40
"Action & Adventure, Animation, Kids & Family, Romance",1,42
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",0,296
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",1,1201
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Special Interest",0,1
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Special Interest",1,4
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Television",0,18
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Television",1,12
"Action & Adventure, Animation, Kids & Family, Special Interest",0,13
"Action & Adventure, Animation, Kids & Family, Special Interest",1,6
"Action & Adventure, Animation, Kids & Family, Western",0,1
"Action & Adventure, Animation, Kids & Family, Western",1,3
"Action & Adventure, Animation, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy",0,19
"Action & Adventure, Animation, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy",1,25
"Action & Adventure, Animation, Science Fiction & Fantasy",0,271
"Action & Adventure, Animation, Science Fiction & Fantasy",1,580
"Action & Adventure, Anime & Manga, Art House & International, Classics, Horror, Science Fiction & Fantasy",0,1
"Action & Adventure, Anime & Manga, Art House & International, Classics, Horror, Science Fiction & Fantasy",1,2
"Action & Adventure, Anime & Manga, Science Fiction & Fantasy",1,20
