genres,sentiment,count
"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts",Neutral,10
"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts",Positive,51
"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts, Romance",Negative,25
"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts, Romance",Neutral,20
"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts, Romance",Positive,80
"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Negative,1
"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Neutral,1
"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Positive,5
"Action & Adventure, Animation, Comedy, Kids & Family, Mystery & Suspense",Negative,5
"Action & Adventure, Animation, Comedy, Kids & Family, Mystery & Suspense",Neutral,7
"Action & Adventure, Animation, Comedy, Kids & Family, Mystery & Suspense",Positive,39
"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy",Negative,262
"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy",Neutral,172
"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy",Positive,1004
"Action & Adventure, Animation, Comedy, Musical & Performing Arts",Negative,24
"Action & Adventure, Animation, Comedy, Musical & Performing Arts",Neutral,12
"Action & Adventure, Animation, Comedy, Musical & Performing Arts",Positive,50
"Action & Adventure, Animation, Comedy, Science Fiction & Fantasy",Negative,56
"Action & Adventure, Animation, Comedy, Science Fiction & Fantasy",Neutral,39
"Action & Adventure, Animation, Comedy, Science Fiction & Fantasy",Positive,147
"Action & Adventure, Animation, Cult Movies, Science Fiction & Fantasy",Negative,3
"Action & Adventure, Animation, Cult Movies, Science Fiction & Fantasy",Neutral,1
"Action & Adventure, Animation, Drama",Negative,137
"Action & Adventure, Animation, Drama",Neutral,112
"Action & Adventure, Animation, Drama",Positive,489
"Action & Adventure, Animation, Drama, Kids & Family",Negative,23
"Action & Adventure, Animation, Drama, Kids & Family",Neutral,20
"Action & Adventure, Animation, Drama, Kids & Family",Positive,90
"Action & Adventure, Animation, Drama, Kids & Family, Musical & Performing Arts",Negative,13
"Action & Adventure, Animation, Drama, Kids & Family, Musical & Performing Arts",Neutral,20
"Action & Adventure, Animation, Drama, Kids & Family, Musical & Performing Arts",Positive,88
"Action & Adventure, Animation, Drama, Kids & Family, Science Fiction & Fantasy",Negative,26
"Action & Adventure, Animation, Drama, Kids & Family, Science Fiction & Fantasy",Neutral,36
"Action & Adventure, Animation, Drama, Kids & Family, Science Fiction & Fantasy",Positive,156
"Action & Adventure, Animation, Drama, Mystery & Suspense, Science Fiction & Fantasy",Negative,12
"Action & Adventure, Animation, Drama, Mystery & Suspense, Science Fiction & Fantasy",Neutral,8
"Action & Adventure, Animation, Drama, Mystery & Suspense, Science Fiction & Fantasy",Positive,22
"Action & Adventure, Animation, Drama, Science Fiction & Fantasy",Negative,167
"Action & Adventure, Animation, Drama, Science Fiction & Fantasy",Neutral,59
"Action & Adventure, Animation, Drama, Science Fiction & Fantasy",Positive,343
"Action & Adventure, Animation, Drama, Science Fiction & Fantasy, Special Interest",Negative,1
