genres,review_type,count
"Action & Adventure, Animation, Drama, Kids & Family, Science Fiction & Fantasy",Rotten,16
"Action & Adventure, Animation, Drama, Mystery & Suspense, Science Fiction & Fantasy",Fresh,37
"Action & Adventure, Animation, Drama, Mystery & Suspense, Science Fiction & Fantasy",Rotten,5
"Action & Adventure, Animation, Drama, Science Fiction & Fantasy",Fresh,371
"Action & Adventure, Animation, Drama, Science Fiction & Fantasy",Rotten,198
"Action & Adventure, Animation, Drama, Science Fiction & Fantasy, Special Interest",Fresh,9
"Action & Adventure, Animation, Drama, Science Fiction & Fantasy, Special Interest",Rotten,2
"Action & Adventure, Animation, Horror, Kids & Family",Fresh,2
"Action & Adventure, Animation, Horror, Kids & Family",Rotten,6
"Action & Adventure, Animation, Horror, Mystery & Suspense, Science Fiction & Fantasy",Fresh,12
"Action & Adventure, Animation, Horror, Mystery & Suspense, Science Fiction & Fantasy",Rotten,70
"Action & Adventure, Animation, Kids & Family",Fresh,3004
"Action & Adventure, Animation, Kids & Family",Rotten,733
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts",Fresh,3
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts",Rotten,2
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance",Fresh,41
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Romance",Rotten,15
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Fresh,2
"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Rotten,12
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense",Fresh,23
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense",Rotten,5
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense, Romance",Fresh,17
"Action & Adventure, Animation, Kids & Family, Mystery & Suspense, Romance",Rotten,1
"Action & Adventure, Animation, Kids & Family, Romance",Fresh,114
"Action & Adventure, Animation, Kids & Family, Romance",Rotten,134
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",Fresh,2217
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",Rotten,617
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Special Interest",Fresh,6
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Special Interest",Rotten,2
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Television",Fresh,22
"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy, Television",Rotten,39
"Action & Adventure, Animation, Kids & Family, Special Interest",Fresh,9
"Action & Adventure, Animation, Kids & Family, Special Interest",Rotten,18
"Action & Adventure, Animation, Kids & Family, Western",Fresh,4
"Action & Adventure, Animation, Kids & Family, Western",Rotten,3
"Action & Adventure, Animation, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy",Fresh,74
"Action & Adventure, Animation, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy",Rotten,74
"Action & Adventure, Animation, Science Fiction & Fantasy",Fresh,895
"Action & Adventure, Animation, Science Fiction & Fantasy",Rotten,464
"Action & Adventure, Anime & Manga, Art House & International, Classics, Horror, Science Fiction & Fantasy",Fresh,6
"Action & Adventure, Anime & Manga, Art House & International, Classics, Horror, Science Fiction & Fantasy",Rotten,2
"Action & Adventure, Anime & Manga, Science Fiction & Fantasy",Fresh,56
"Action & Adventure, Anime & Manga, Science Fiction & Fantasy",Rotten,2
"Action & Adventure, Art House & International",Fresh,912
"Action & Adventure, Art House & International",Rotten,297
"Action & Adventure, Art House & International, Classics",Fresh,5
"Action & Adventure, Art House & International, Classics, Comedy",Fresh,14
"Action & Adventure, Art House & International, Classics, Comedy, Cult Movies, Horror, Science Fiction & Fantasy",Fresh,8
